epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.834,1.08742,1.28764,1.15109,0.56043,0.41693,0.41778,0.20757,1.68652,1.574,1.42742,0.00333236,0.00333236,0.00333236
2,385.541,0.86703,0.85617,1.05244,0.5442,0.39226,0.39812,0.19715,1.73558,1.58148,1.50128,0.00653372,0.00653372,0.00653372
3,584.875,0.87295,0.81235,1.05544,0.48979,0.35843,0.35312,0.16483,1.87107,1.70183,1.59075,0.00960307,0.00960307,0.00960307
4,792.294,0.86545,0.77886,1.05848,0.49307,0.34823,0.34752,0.16139,1.86805,1.68142,1.60099,0.009406,0.009406,0.009406
5,994.49,0.79609,0.70718,1.03694,0.52391,0.38214,0.38351,0.18503,1.8382,1.60217,1.54881,0.009208,0.009208,0.009208
6,1196.46,0.74834,0.6591,1.01706,0.5259,0.36802,0.37589,0.17857,1.82766,1.59758,1.5508,0.00901,0.00901,0.00901
7,1395.01,0.70991,0.62244,1.00402,0.51597,0.39107,0.38619,0.18852,1.78512,1.58488,1.54691,0.008812,0.008812,0.008812
8,1611.1,0.68121,0.59894,0.99494,0.52812,0.39482,0.40038,0.19673,1.7723,1.54351,1.50321,0.008614,0.008614,0.008614
9,1820.8,0.65203,0.57462,0.98393,0.54823,0.38903,0.40393,0.20056,1.74961,1.52788,1.50922,0.008416,0.008416,0.008416
10,2034.53,0.63794,0.55871,0.97846,0.5586,0.40099,0.42095,0.21029,1.73304,1.49088,1.49193,0.008218,0.008218,0.008218
11,2241.85,0.62277,0.54626,0.97742,0.55015,0.39934,0.41015,0.20513,1.72586,1.50542,1.49055,0.00802,0.00802,0.00802
12,2442.79,0.611,0.53777,0.96962,0.56159,0.41111,0.42578,0.21522,1.71851,1.4652,1.48689,0.007822,0.007822,0.007822
13,2650.07,0.5981,0.52512,0.96562,0.56743,0.40508,0.43207,0.2182,1.71633,1.47017,1.48779,0.007624,0.007624,0.007624
14,2859.93,0.58325,0.51415,0.96162,0.54353,0.40847,0.42136,0.21315,1.6965,1.4789,1.47177,0.007426,0.007426,0.007426
15,3077.03,0.58138,0.51075,0.96071,0.56401,0.40416,0.43027,0.21906,1.68833,1.44782,1.46573,0.007228,0.007228,0.007228
16,3288.33,0.56118,0.49437,0.95296,0.5713,0.42065,0.44421,0.22531,1.69595,1.4153,1.46472,0.00703,0.00703,0.00703
17,3501.34,0.5613,0.49435,0.95326,0.56739,0.42346,0.44806,0.2277,1.68486,1.41376,1.4578,0.006832,0.006832,0.006832
18,3704.71,0.55583,0.48867,0.95197,0.57941,0.42186,0.44544,0.22905,1.66065,1.41972,1.43999,0.006634,0.006634,0.006634
19,3920.01,0.54531,0.48314,0.94835,0.58135,0.42082,0.45149,0.23115,1.65886,1.39844,1.45366,0.006436,0.006436,0.006436
20,4123.36,0.53729,0.47437,0.94737,0.58254,0.42767,0.45246,0.23251,1.67385,1.3856,1.42812,0.006238,0.006238,0.006238
21,4333.58,0.53268,0.47256,0.94478,0.5684,0.43402,0.45247,0.23324,1.65894,1.38983,1.44016,0.00604,0.00604,0.00604
22,4539.05,0.52649,0.46572,0.93956,0.58582,0.42792,0.45719,0.23567,1.64665,1.38352,1.41941,0.005842,0.005842,0.005842
23,4746.25,0.52651,0.46284,0.94247,0.59073,0.43018,0.46198,0.23954,1.65081,1.37203,1.42551,0.005644,0.005644,0.005644
24,4961.03,0.51558,0.45864,0.93961,0.58863,0.43421,0.46355,0.24146,1.64006,1.36045,1.42296,0.005446,0.005446,0.005446
25,5161.28,0.51027,0.45323,0.93673,0.59419,0.44074,0.47121,0.2465,1.6313,1.35227,1.41435,0.005248,0.005248,0.005248
