epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.8,1.09186,1.30564,1.15904,0.5645,0.42431,0.4237,0.21448,1.67155,1.56322,1.41289,0.00333236,0.00333236,0.00333236
2,388.911,0.8736,0.8643,1.05661,0.52913,0.37192,0.36712,0.17848,1.7654,1.64734,1.50765,0.00659971,0.00659971,0.00659971
3,598.994,0.88243,0.82825,1.06191,0.49738,0.35608,0.35366,0.16842,1.86913,1.73723,1.59665,0.00980105,0.00980105,0.00980105
4,810.014,0.87069,0.79091,1.06534,0.51617,0.34463,0.35281,0.16629,1.87041,1.67414,1.62094,0.009703,0.009703,0.009703
5,1020.56,0.80061,0.71264,1.0416,0.51448,0.36808,0.37106,0.17725,1.85418,1.63607,1.58171,0.009604,0.009604,0.009604
6,1239.66,0.75492,0.6681,1.0239,0.50218,0.37137,0.37443,0.18038,1.80845,1.61757,1.56711,0.009505,0.009505,0.009505
7,1454.65,0.72114,0.63562,1.01229,0.51811,0.38273,0.37859,0.18382,1.78747,1.60613,1.57322,0.009406,0.009406,0.009406
8,1669.34,0.69594,0.61161,1.00375,0.54106,0.38029,0.39315,0.19163,1.78358,1.55963,1.51938,0.009307,0.009307,0.009307
9,1872.7,0.66466,0.58661,0.99139,0.52982,0.3864,0.39666,0.19507,1.79046,1.5463,1.54059,0.009208,0.009208,0.009208
10,2085.01,0.65135,0.57214,0.98615,0.5552,0.38853,0.40667,0.20085,1.75391,1.54538,1.53382,0.009109,0.009109,0.009109
11,2298.15,0.63679,0.55964,0.98615,0.54292,0.39482,0.40808,0.2025,1.74341,1.5093,1.50013,0.00901,0.00901,0.00901
12,2509.07,0.62635,0.55316,0.97701,0.56097,0.40469,0.4242,0.21194,1.73807,1.47652,1.49935,0.008911,0.008911,0.008911
13,2732.5,0.61532,0.54382,0.97448,0.56052,0.40318,0.42172,0.21012,1.74338,1.49551,1.49273,0.008812,0.008812,0.008812
14,2943.34,0.59787,0.53137,0.97034,0.54467,0.41058,0.42261,0.21172,1.71289,1.48105,1.48367,0.008713,0.008713,0.008713
15,3146.96,0.59678,0.52598,0.96775,0.55155,0.40712,0.42153,0.21279,1.72009,1.46407,1.50937,0.008614,0.008614,0.008614
16,3356.69,0.58115,0.51394,0.96298,0.56868,0.4085,0.43489,0.22146,1.69427,1.45542,1.47224,0.008515,0.008515,0.008515
17,3565.86,0.57982,0.51116,0.96383,0.56572,0.4083,0.43363,0.22073,1.69742,1.45472,1.48646,0.008416,0.008416,0.008416
18,3777.83,0.57378,0.50653,0.96035,0.56978,0.41461,0.43664,0.22289,1.67257,1.44855,1.4536,0.008317,0.008317,0.008317
19,3997.84,0.56248,0.49834,0.95529,0.57678,0.41668,0.44102,0.22502,1.67471,1.41967,1.46369,0.008218,0.008218,0.008218
20,4214.39,0.5576,0.49327,0.95698,0.56867,0.42053,0.444,0.22782,1.67745,1.42442,1.46791,0.008119,0.008119,0.008119
21,4431.3,0.55578,0.49423,0.95521,0.57327,0.42169,0.44208,0.22614,1.66917,1.42303,1.46004,0.00802,0.00802,0.00802
