epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.812,1.09364,1.31,1.1576,0.5711,0.40832,0.41708,0.20985,1.68392,1.57626,1.44138,0.00333236,0.00333236,0.00333236
2,355.819,0.87126,0.86421,1.05691,0.52313,0.36942,0.37213,0.18204,1.75892,1.64749,1.51026,0.0066327,0.0066327,0.0066327
3,545.022,0.88462,0.83123,1.06399,0.4944,0.33998,0.33685,0.15416,1.91531,1.76803,1.61511,0.00990004,0.00990004,0.00990004
4,724.427,0.88104,0.79874,1.06984,0.51765,0.34587,0.35164,0.16552,1.86064,1.68315,1.62449,0.0098515,0.0098515,0.0098515
5,905.491,0.80629,0.71475,1.04364,0.51486,0.3715,0.37565,0.17806,1.86243,1.60187,1.59666,0.009802,0.009802,0.009802
6,1089.3,0.76076,0.67077,1.02606,0.51127,0.35892,0.36924,0.17915,1.8179,1.60569,1.5513,0.0097525,0.0097525,0.0097525
7,1277.13,0.72139,0.63216,1.00986,0.51209,0.37708,0.37571,0.18355,1.79154,1.58949,1.539,0.009703,0.009703,0.009703
8,1470.48,0.69351,0.61098,1.00262,0.5319,0.38249,0.39548,0.19188,1.78691,1.54429,1.5305,0.0096535,0.0096535,0.0096535
9,1675.31,0.67429,0.5953,0.99477,0.53948,0.38556,0.39379,0.19315,1.78869,1.54927,1.5313,0.009604,0.009604,0.009604
10,1871.1,0.65283,0.57397,0.9879,0.54795,0.39433,0.40616,0.19995,1.75725,1.52401,1.5187,0.0095545,0.0095545,0.0095545
11,2076.91,0.64298,0.56566,0.98785,0.55134,0.39159,0.4062,0.20134,1.75732,1.5284,1.51019,0.009505,0.009505,0.009505
12,2282.75,0.6311,0.55572,0.98044,0.55108,0.40276,0.41696,0.20687,1.76173,1.51127,1.51402,0.0094555,0.0094555,0.0094555
13,2468.12,0.6212,0.54824,0.97605,0.55791,0.40447,0.42186,0.212,1.73247,1.47967,1.49232,0.009406,0.009406,0.009406
