epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.228,1.06051,1.06613,1.14493,0.46743,0.35232,0.32927,0.14634,1.9777,1.85116,1.65746,0.000666473,0.000666473,0.000666473
2,366.773,0.90611,0.80893,1.08648,0.45693,0.34714,0.33557,0.15619,1.89645,1.74835,1.61481,0.00126715,0.00126715,0.00126715
3,569.434,0.83196,0.73477,1.05546,0.45977,0.35202,0.34116,0.16029,1.8849,1.68931,1.60008,0.00180183,0.00180183,0.00180183
4,751.725,0.76451,0.66934,1.02766,0.50624,0.3685,0.37243,0.17686,1.85599,1.61252,1.60078,0.001703,0.001703,0.001703
5,941.178,0.70838,0.62164,1.00581,0.5011,0.37933,0.37502,0.18156,1.81756,1.60221,1.53528,0.001604,0.001604,0.001604
6,1141.55,0.66856,0.58784,0.98936,0.52853,0.38072,0.38773,0.18747,1.78736,1.56521,1.50831,0.001505,0.001505,0.001505
7,1346.33,0.6365,0.56023,0.97988,0.53491,0.39608,0.40475,0.19888,1.76833,1.53867,1.4988,0.001406,0.001406,0.001406
8,1546.23,0.61499,0.54415,0.97112,0.54337,0.4074,0.41657,0.20657,1.74279,1.49336,1.48867,0.001307,0.001307,0.001307
9,1739.21,0.58669,0.52406,0.96326,0.53651,0.39781,0.40776,0.20396,1.7365,1.50438,1.4933,0.001208,0.001208,0.001208
10,1939.21,0.57414,0.50991,0.9584,0.56345,0.41178,0.42862,0.21296,1.72273,1.48255,1.46977,0.001109,0.001109,0.001109
11,2145.52,1.74276,1.58101,1.51586,0.56864,0.41929,0.43848,0.22431,1.68505,1.4401,1.45027,0.00101,0.00101,0.00101
12,2345.22,1.68002,1.51195,1.48056,0.57924,0.42932,0.45561,0.23766,1.65041,1.40981,1.42324,0.000911,0.000911,0.000911
13,2551.57,1.64099,1.46288,1.45027,0.58603,0.43036,0.46559,0.245,1.61518,1.37317,1.40439,0.000812,0.000812,0.000812
14,2747.93,1.61146,1.40957,1.43366,0.60384,0.4394,0.47698,0.2531,1.59593,1.35108,1.3938,0.000713,0.000713,0.000713
15,2943.99,1.58913,1.37957,1.4151,0.5955,0.45442,0.48752,0.26035,1.58457,1.31839,1.38781,0.000614,0.000614,0.000614
16,3143.82,1.55906,1.3397,1.39502,0.60733,0.4543,0.49224,0.26216,1.57181,1.29769,1.37385,0.000515,0.000515,0.000515
17,3347.22,1.53448,1.31182,1.38141,0.61711,0.45906,0.50189,0.27057,1.55305,1.27055,1.36652,0.000416,0.000416,0.000416
18,3553.98,1.52204,1.28235,1.3687,0.60937,0.46498,0.50357,0.27331,1.54621,1.26089,1.35618,0.000317,0.000317,0.000317
19,3761.29,1.50487,1.25478,1.35678,0.61976,0.46602,0.50703,0.27598,1.53354,1.24516,1.34509,0.000218,0.000218,0.000218
20,3961.45,1.48716,1.23178,1.35001,0.62398,0.46932,0.51266,0.27886,1.53175,1.23794,1.34466,0.000119,0.000119,0.000119
